date,prejuvenation,preventive botox,baby botox
2016-01-01,0,0,11
2016-02-01,0,0,15
2016-03-01,0,0,12
2016-04-01,0,0,11
2016-05-01,0,0,11
2016-06-01,0,0,10
2016-07-01,0,0,10
2016-08-01,0,0,11
2016-09-01,0,0,11
2016-10-01,0,0,10
2016-11-01,0,0,12
2016-12-01,0,0,9
2017-01-01,0,0,13
2017-02-01,0,0,12
2017-03-01,0,0,12
2017-04-01,0,0,11
2017-05-01,0,0,12
2017-06-01,0,0,13
2017-07-01,0,0,12
2017-08-01,0,0,12
2017-09-01,0,0,10
2017-10-01,0,0,15
2017-11-01,0,0,16
2017-12-01,0,0,12
2018-01-01,0,0,17
2018-02-01,0,0,17
2018-03-01,0,0,18
2018-04-01,0,0,18
2018-05-01,0,0,18
2018-06-01,0,0,17
2018-07-01,0,0,15
2018-08-01,0,0,19
2018-09-01,0,0,19
2018-10-01,0,0,17
2018-11-01,0,0,21
2018-12-01,0,0,18
2019-01-01,0,0,19
2019-02-01,0,0,25
2019-03-01,0,0,25
2019-04-01,0,0,22
2019-05-01,0,0,25
2019-06-01,0,0,24
2019-07-01,0,0,59
2019-08-01,0,0,31
2019-09-01,0,0,24
2019-10-01,0,0,27
2019-11-01,0,0,30
2019-12-01,0,0,36
2020-01-01,2,0,36
2020-02-01,0,0,32
2020-03-01,0,0,22
2020-04-01,0,0,19
2020-05-01,0,0,27
2020-06-01,0,0,29
2020-07-01,1,0,32
2020-08-01,0,0,31
2020-09-01,0,0,32
2020-10-01,0,0,32
2020-11-01,0,0,35
2020-12-01,0,0,36
2021-01-01,0,0,40
2021-02-01,0,0,44
2021-03-01,0,0,45
2021-04-01,0,1,47
2021-05-01,0,0,46
2021-06-01,0,0,52
2021-07-01,0,0,55
2021-08-01,0,0,50
2021-09-01,0,1,45
2021-10-01,0,2,51
2021-11-01,0,1,58
2021-12-01,0,0,54
2022-01-01,0,0,86
2022-02-01,0,0,82
2022-03-01,0,1,80
2022-04-01,0,1,76
2022-05-01,0,1,75
2022-06-01,0,0,69
2022-07-01,0,1,60
2022-08-01,0,0,61
2022-09-01,1,0,58
2022-10-01,0,0,55
2022-11-01,0,0,58
2022-12-01,0,0,56
2023-01-01,0,1,64
2023-02-01,1,1,65
2023-03-01,1,1,78
2023-04-01,0,0,72
2023-05-01,1,1,67
2023-06-01,0,0,64
2023-07-01,0,0,70
2023-08-01,0,0,57
2023-09-01,0,0,58
2023-10-01,0,0,59
2023-11-01,0,0,60
2023-12-01,0,0,63
2024-01-01,1,0,70
2024-02-01,0,0,67
2024-03-01,1,1,67
2024-04-01,0,1,66
2024-05-01,0,0,63
2024-06-01,0,0,66
2024-07-01,1,0,62
2024-08-01,2,0,63
2024-09-01,2,0,70
2024-10-01,5,0,63
2024-11-01,5,0,64
2024-12-01,3,1,67
2025-01-01,3,0,71
2025-02-01,2,0,67
2025-03-01,2,0,74
2025-04-01,3,1,73
2025-05-01,3,2,81
2025-06-01,3,0,67
2025-07-01,3,0,68
2025-08-01,5,3,92
2025-09-01,4,3,89
2025-10-01,4,3,91
2025-11-01,5,3,94
2025-12-01,5,3,100
